0;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario;nome_normalizzato_gs1;note
28;Henkel;Vernel Concentrato Aromatherapy Sogni di Loto 1,9L;Vernel Ammorbidente Concentrato Aromatherapy Sogni di Loto 1,9L;8015100576890;;;VERNEL Concentrato Aromatherapy Patchouli 1,9L;Prodotto trovato su GS1
29;Henkel;Vernel Concentrato Aromatherapy Fascino di Frangipani 1,9L;Vernel Ammorbidente Concentrato Aromatherapy Fascino di Frangipani 1,9L;8015100576838;;;VERNEL Concentrato Aromatherapy Frangipani 1,9L;Prodotto trovato su GS1
30;Henkel;Vernel Concentrato Fresh Control Freschezza Floreale 1,9L;Vernel Ammorbidente Concentrato Fresh Control Freschezza Floreale 1,9L;8015100576807;;;VERNEL Concentrato Fresh Control Rosa 1,9L;Prodotto trovato su GS1
31;Henkel;Vernel Concentrato Fresh Control Vento di Freschezza 1,9L;Vernel Ammorbidente Concentrato Fresh Control Vento di Freschezza 1,9L;8015100576814;;;VERNEL Concentrato Fresh Control Verde 1,9L;Prodotto trovato su GS1
32;Henkel;Vernel Concentrato Blu Oxygen 1,35L;Vernel Ammorbidente Concentrato Blu Oxygen 1,35L;8015100576920;;;;Prodotto non trovato su GS1
33;Henkel;Vernel Concentrato Lavanda 1,35L;Vernel Ammorbidente Concentrato Lavanda 1,35L;8015100576937;;;;Prodotto non trovato su GS1
34;Henkel;Vernel Concentrato Aromatherapy Sogni di Loto 1,3L;Vernel Ammorbidente Concentrato Aromatherapy Sogni di Loto 1,3L;8015100576906;;;;Prodotto non trovato su GS1
35;Henkel;Vernel Concentrato Aromatherapy Fascino di Frangipani 1,3L;Vernel Ammorbidente Concentrato Aromatherapy Fascino di Frangipani 1,3L;8015100576913;;;;Prodotto non trovato su GS1
36;Henkel;Vernel Sacchetti Profumati Blu Oxygen (3 sacchetti);Vernel Sacchetti Profumati per Armadi Blu Oxygen 3 Pezzi;4015000031837;;;Vernel Blu oxygen 3 sacchetti profumati per armadi e cassetti;Prodotto trovato su GS1
37;Henkel;Vernel Sacchetti Profumati Sensazione Rosa (3 sacchetti);Vernel Sacchetti Profumati per Armadi Sensazione Rosa 3 Pezzi;4015000031851;;;;Prodotto non trovato su GS1
38;Henkel;Vernel Sacchetti Profumati Lavanda di Provenza (3 sacchetti);Vernel Sacchetti Profumati per Armadi Lavanda di Provenza 3 Pezzi;4015000031868;;;;Prodotto non trovato su GS1
39;Henkel;Vernel Sacchetti Profumati Fior di Gelsomino (3 sacchetti);Vernel Sacchetti Profumati per Armadi Fior di Gelsomino 3 Pezzi;4015000032070;;;;Prodotto non trovato su GS1
40;Henkel;Vernel Conc Blu Oxygen 1056ml;Vernel Ammorbidente Concentrato Blu Oxygen 1056ml;8015100580729;;;VERNEL Concentrato Blu Oxygen 1.056 mL;Prodotto trovato su GS1
41;Henkel;Vernel Conc Lavanda 1056ml;Vernel Ammorbidente Concentrato Lavanda 1056 ml;8015100580798;;;VERNEL Concentrato Lavanda 1.056 mL;Prodotto trovato su GS1
42;Henkel;Vernel Conc AT Sogni di Loto 1056ml;Vernel Ammorbidente Concentrato Aromaterapia Sogni di Loto 1056 ml;8015100580835;;;VERNEL Concentrato Aromatherapy Sogni di Loto 1.056 mL;Prodotto trovato su GS1
43;Henkel;Vernel Conc AT Fascino di Frangipani 1056ml;Vernel Ammorbidente Concentrato Aromaterapia Fascino di Frangipani 1056 ml;8015100580842;;;VERNEL Concentrato Aromatherapy Fascino di Frangipani 1.056 mL;Prodotto trovato su GS1
44;Henkel;Vernel Conc AT Desiderio di Rosa 1056ml;Vernel Ammorbidente Concentrato Aromaterapia Desiderio di Rosa 1056 ml;8015100580736;;;VERNEL Concentrato Aromatherapy Desiderio di Rosa 1.056 mL;Prodotto trovato su GS1
45;Henkel;Vernel Conc AT Voglia di Maldive 1056ml;Vernel Ammorbidente Concentrato Aromaterapia Voglia di Maldive 1056 ml;8015100580743;;;VernConc ATVogliaMald 1056ml;Prodotto trovato su GS1
46;Henkel;Vernel Conc FC Freschezza Glaciale 1056ml;Vernel Ammorbidente Concentrato Fresh Control Freschezza Glaciale 1056 ml;8015100580804;;;VernConc FCFrescGlac 1056ml;Prodotto trovato su GS1
47;Henkel;Vernel Conc FC Freschezza Oceanica 1056ml;Vernel Ammorbidente Concentrato Fresh Control Freschezza Oceanica 1056 ml;8015100580811;;;VernConc FCFrescOcean 1056ml;Prodotto trovato su GS1
48;Henkel;Vernel Conc Carezza Delicata 1056ml;Vernel Ammorbidente Concentrato Carezza Delicata 1056 ml;8015100580828;;;VernConc Carezza1056ml;Prodotto trovato su GS1
49;Henkel;Vernel Conc Blu Oxygen 1716ml;Vernel Ammorbidente Concentrato Blu Oxygen 1716 ml;8015100580712;;;VernelConc BluOxygen1716;Prodotto trovato su GS1
50;Henkel;Vernel Conc Lavanda 1716ml;Vernel Ammorbidente Concentrato Lavanda 1716 ml;8015100580781;;;VernelConc Lavanda 1716;Prodotto trovato su GS1
51;Henkel;Vernel Conc AT Sogni di Loto 1716ml;Vernel Ammorbidente Concentrato Aromaterapia Sogni di Loto 1716 ml;8015100580859;;;VernConc ATSogniLoto 1716ml;Prodotto trovato su GS1
52;Henkel;Vernel Conc AT Fascino di Frangipani 1716ml;Vernel Ammorbidente Concentrato Aromaterapia Fascino di Frangipani 1716 ml;8015100580750;;;VernConc ATFascFrangi1716;Prodotto trovato su GS1
53;Henkel;Vernel Conc AT Desiderio di Rosa 1716ml;Vernel Ammorbidente Concentrato Aromaterapia Desiderio di Rosa 1716 ml;8015100580767;;;VernConc ATDesidRosa 1716ml;Prodotto trovato su GS1
54;Henkel;Vernel Conc FC Freschezza Glaciale 1716ml;Vernel Ammorbidente Concentrato Fresh Control Freschezza Glaciale 1716 ml;8015100580774;;;VernConc FCFrescGlac 1716ml;Prodotto trovato su GS1
