id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario;nome_normalizzato_gs1;note;tipo
23;REAL CHIMICA;CHANTECLAIR ANTICALCARE UNIVERSALE ANTIGOCCIA TANICA ML 5000;CHANTECLAIR ANTICALCARE UNIVERSALE ANTIGOCCIA TANICA ML 5000;8015194522827;;;;;
24;REAL CHIMICA;CHANTECLAIR MONOVENDITA 3 DETERSIVI LAVATRICE COLOR 1150 ML - 23 DOSI;CHANTECLAIR MONOVENDITA 3 DETERSIVI LAVATRICE COLOR 1150 ML - 23 DOSI;8015194521189;;;;;
25;REAL CHIMICA;CHANTECLAIR MONOVENDITA 3 DETERSIVI LAVATRICE MUSCHIO BIANCO 1150 ML - 23 DOSI;CHANTECLAIR MONOVENDITA 3 DETERSIVI LAVATRICE MUSCHIO BIANCO 1150 ML - 23 DOSI;8015194521196;;;;;
26;REAL CHIMICA;CHANTECLAIR SGRASS.MARSIGLIA+RICARICA ML.700;CHANTECLAIR SGRASS.MARSIGLIA+RICARICA ML.700;8015194528416;;;;;
27;REAL CHIMICA;CHANTECLAIR SGRASSATORE 700 ml MISTO 108 pc con BS;CHANTECLAIR SGRASSATORE 700 ml MISTO 108 pc con BS;48015194534576;;;;;
28;REAL CHIMICA;CHANTECLAIR SGRASSATORE 700 ml MISTO 108 pc con BS;CHANTECLAIR SGRASSATORE 700 ml MISTO 108 pc con BS;48015194533890;;;;;
29;REAL CHIMICA;CHANTECLAIR SGRASSATORE CON CANDEGGINA MISTO 625 ml;CHANTECLAIR SGRASSATORE CON CANDEGGINA MISTO 625 ml;48015194533975;;;;;
30;REAL CHIMICA;CHANTECLAIR SGRASSATORE DISINFETTANTE LT 5;CHANTECLAIR SGRASSATORE DISINFETTANTE LT 5;8015194507381;;;;;
31;REAL CHIMICA;CHANTECLAIR SGRASSATORE PAVIMENTI DISINFETTANTE TANICA ML 5000;CHANTECLAIR SGRASSATORE PAVIMENTI DISINFETTANTE TANICA ML 5000;8015194522919;;;;;
32;REAL CHIMICA;CHANTECLAIR SGRASSATORE PAVIMENTI MARSIGLIA E LIMONE TANICA ML 5000;CHANTECLAIR SGRASSATORE PAVIMENTI MARSIGLIA E LIMONE TANICA ML 5000;8015194522841;;;;;
33;REAL CHIMICA;CHANTECLAIR SGRASSATORE PAVIMENTI MUSCHIO BIANCO TANICA ML 5000;CHANTECLAIR SGRASSATORE PAVIMENTI MUSCHIO BIANCO TANICA ML 5000;8015194522834;;;;;
34;REAL CHIMICA;Chanteclair Additivo DeoAction 600 ml;Chanteclair Additivo DeoAction 600 ml;8015194523985;;;;;
35;REAL CHIMICA;Chanteclair Additivo Igienizzante 1000 ml;Chanteclair Additivo Igienizzante 1000 ml;8015194509736;;;;;
36;REAL CHIMICA;Chanteclair Anticalcare Extra Potente 625 ml;Chanteclair Anticalcare Extra Potente 625 ml;8015194517892;;;;;
37;REAL CHIMICA;Chanteclair Anticalcare Extra Profumato 625 ml;Chanteclair Anticalcare Extra Profumato 625 ml;8015194535063;;;;;
38;REAL CHIMICA;Chanteclair Anticalcare Extra Rapido 625 ml;Chanteclair Anticalcare Extra Rapido 625 ml;8015194518394;;;;;
39;REAL CHIMICA;Chanteclair Bagno Extra Brillante 625 ml;Chanteclair Bagno Extra Brillante 625 ml;8015194518424;;;;;
40;REAL CHIMICA;Chanteclair Capi Sportivi e Fibre Sintetiche 900 ml;Chanteclair Capi Sportivi e Fibre Sintetiche 900 ml;8015194503024;;;;;
41;REAL CHIMICA;Chanteclair Cura Lavatrice Igienizzante 250 ml;Chanteclair Cura Lavatrice Igienizzante 250 ml;8015194526269;;;;;
42;REAL CHIMICA;Chanteclair Extra Power Colli & Polsini Pretrattante 500 ml;Chanteclair Extra Power Colli & Polsini Pretrattante 500 ml;8015194528539;;;;;
43;REAL CHIMICA;Chanteclair Extra Power Millemacchie Pretrattante 500 ml;Chanteclair Extra Power Millemacchie Pretrattante 500 ml;8015194528546;;;;;
44;REAL CHIMICA;Chanteclair Extra Power Scioglimacchia 375 ml;Chanteclair Extra Power Scioglimacchia 375 ml;8015194528522;;;;;
45;REAL CHIMICA;Chanteclair Extra Power Scioglimacchia Pretrattante 500 ml;Chanteclair Extra Power Scioglimacchia Pretrattante 500 ml;8015194535025;;;;;
46;REAL CHIMICA;Chanteclair Foglietti SalvaColore 20 + 10 Pezzi in Omaggio;Chanteclair Foglietti SalvaColore 20 + 10 Pezzi in Omaggio;8015194525965;;;;;
47;REAL CHIMICA;Chanteclair Forza & Igiene Sgrassatore con Candeggina Bouquet Fiorito 625 ml;Chanteclair Forza & Igiene Sgrassatore con Candeggina Bouquet Fiorito 625 ml;8015194518721;;;;;
48;REAL CHIMICA;Chanteclair Forza & Igiene Sgrassatore con Candeggina Bouquet Fiorito Ricarica 625 ml;Chanteclair Forza & Igiene Sgrassatore con Candeggina Bouquet Fiorito Ricarica 625 ml;8015194522179;;;;;
49;REAL CHIMICA;Chanteclair Forza & Igiene Sgrassatore con Candeggina Fresco Profumo 625 ml;Chanteclair Forza & Igiene Sgrassatore con Candeggina Fresco Profumo 625 ml;8015194518387;;;;;
50;REAL CHIMICA;Chanteclair Forza & Igiene Sgrassatore con Candeggina Profumo Classico 2 x 625 ml;Chanteclair Forza & Igiene Sgrassatore con Candeggina Profumo Classico 2 x 625 ml;8015194516970;;;;;
51;REAL CHIMICA;Chanteclair Forza & Igiene Sgrassatore con Candeggina Profumo Classico Ricarica 625 ml;Chanteclair Forza & Igiene Sgrassatore con Candeggina Profumo Classico Ricarica 625 ml;8015194515102;;;;;
52;REAL CHIMICA;Chanteclair Lana e Cashmere 900 ml;Chanteclair Lana e Cashmere 900 ml;8015194100742;;;;;
53;REAL CHIMICA;Chanteclair Lavatrice Bicarbonato 1150 ml;Chanteclair Lavatrice Bicarbonato 1150 ml;8015194520816;;;;;
54;REAL CHIMICA;Chanteclair Lavatrice Bicarbonato 1260 ml;Chanteclair Lavatrice Bicarbonato 1260 ml;8015194530761;;;;;
