id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario;nome_normalizzato_gs1;note
1;Casa Vinicola Zonin Spa;Masseria Settearchi - Falanghina Puglia IGT 750ml;Masseria Settearchi Falanghina Puglia IGT 750 ml;8002235030168;;;Masseria Settearchi Falanghina Salento IGT 750 ml;Prodotto trovato su GS1
2;Casa Vinicola Zonin Spa;Masseria Settearchi - Primitivo Puglia IGT 750ml;Masseria Settearchi Primitivo Puglia IGT 750 ml;8002235030182;;;Masseria Settearchi Primitivo Salento IGT 750 ml;Prodotto trovato su GS1
3;Casa Vinicola Zonin Spa;Masseria Settearchi - Negroamaro Puglia IGT 750ml;Masseria Settearchi Negroamaro Puglia IGT 750 ml;8002235030144;;;Masseria Settearchi Negroamaro Salento IGT 750 ml;Prodotto trovato su GS1
4;Casa Vinicola Zonin Spa;Masseria Settearchi - Negroamaro Rosato Puglia IGT 750ml;Masseria Settearchi Negroamaro Rosato Puglia IGT 750 ml;8002235044622;;;;Prodotto non trovato su GS1
5;Casa Vinicola Zonin Spa;Masseria Settearchi - Primitivo di Manduria DOC 750ml;Masseria Settearchi Primitivo di Manduria DOC 750 ml;8002235040051;;;;Prodotto non trovato su GS1
6;Casa Vinicola Zonin Spa;Masseria Settearchi - Malvasia Nera Puglia IGT 750ml;Masseria Settearchi Malvasia Nera Puglia IGT 750 ml;8002235033107;;;;Prodotto non trovato su GS1
7;Casa Vinicola Zonin Spa;Masseria Settearchi - Negroamaro Spumante Brut 750ml;Masseria Settearchi Negroamaro Spumante Brut 750 ml;8002235033077;;;;Prodotto non trovato su GS1
